"","begin","end","No3_hour","Max_no3","Q_hour","Ua"
"1",2022-01-01 23:00:00,2022-01-02 21:00:00,7.82106909733333,7.82106909733333,16963.4381914797,5.94797956793861
"2",2022-01-01 23:00:00,2022-01-02 21:00:00,7.82449357633333,7.84008152783333,17167.0953115605,5.94797956793861
"3",2022-01-01 23:00:00,2022-01-02 21:00:00,7.83011083333333,7.84008152783333,16991.7641436052,5.94797956793861
"4",2022-01-01 23:00:00,2022-01-02 21:00:00,7.83206760416667,7.84008152783333,17260.2008160187,5.94797956793861
"5",2022-01-01 23:00:00,2022-01-02 21:00:00,7.83143569433333,7.84008152783333,17544.823963688,5.94797956793861
"6",2022-01-01 23:00:00,2022-01-02 21:00:00,7.83192673616667,7.84008152783333,17534.650309907,5.94797956793861
"7",2022-01-01 23:00:00,2022-01-02 21:00:00,7.83422409733333,7.84008152783333,17563.5893480606,5.94797956793861
"8",2022-01-01 23:00:00,2022-01-02 21:00:00,7.8346425695,7.84008152783333,17837.0311709178,5.94797956793861
"9",2022-01-01 23:00:00,2022-01-02 21:00:00,7.8376030555,7.84008152783333,18134.9781299859,5.94797956793861
"10",2022-01-01 23:00:00,2022-01-02 21:00:00,7.82911770833333,7.84008152783333,18247.3818372253,5.94797956793861
"11",2022-01-01 23:00:00,2022-01-02 21:00:00,7.82171513883333,7.84008152783333,18398.0659688029,5.94797956793861
"12",2022-01-01 23:00:00,2022-01-02 21:00:00,7.81426951383333,7.84008152783333,18422.0190652238,5.94797956793861
"13",2022-01-01 23:00:00,2022-01-02 21:00:00,7.804430347,7.84008152783333,18449.2773303066,5.94797956793861
"14",2022-01-01 23:00:00,2022-01-02 21:00:00,7.80786041666667,7.84008152783333,18213.3043355743,5.94797956793861
"15",2022-01-01 23:00:00,2022-01-02 21:00:00,7.80522256966667,7.84008152783333,18469.3772685564,5.94797956793861
"16",2022-01-01 23:00:00,2022-01-02 21:00:00,7.80706138883333,7.84008152783333,18149.3524314473,5.94797956793861
"17",2022-01-01 23:00:00,2022-01-02 21:00:00,7.8150618055,7.84008152783333,17446.5571311803,5.94797956793861
"18",2022-01-01 23:00:00,2022-01-02 21:00:00,7.8170430555,7.84008152783333,17570.6581060201,5.94797956793861
"19",2022-01-01 23:00:00,2022-01-02 21:00:00,7.824899097,7.84008152783333,17521.0244686531,5.94797956793861
"20",2022-01-01 23:00:00,2022-01-02 21:00:00,7.83508618066667,7.84008152783333,17444.7500851384,5.94797956793861
"21",2022-01-01 23:00:00,2022-01-02 21:00:00,7.8367755555,7.84008152783333,17493.9065364375,5.94797956793861
"22",2022-01-01 23:00:00,2022-01-02 21:00:00,7.834558125,7.84008152783333,17432.891074964,5.94797956793861
"23",2022-01-01 23:00:00,2022-01-02 21:00:00,7.84008152783333,7.84008152783333,17539.7395730112,5.94797956793861
"24",2022-01-02 21:00:00,2022-01-03 23:00:00,7.84008152783333,7.84008152783333,17539.7395730112,12.1985860484138
"25",2022-01-02 21:00:00,2022-01-03 23:00:00,7.82286249983333,7.84008152783333,17448.1110245984,12.1985860484138
"26",2022-01-02 21:00:00,2022-01-03 23:00:00,7.80062048616667,7.84008152783333,17561.9848397165,12.1985860484138
"27",2022-01-02 21:00:00,2022-01-03 23:00:00,7.797495521,7.87403545133333,17485.4045779337,12.1985860484138
"28",2022-01-02 21:00:00,2022-01-03 23:00:00,7.797263611,7.87403545133333,17494.3156434672,12.1985860484138
"29",2022-01-02 21:00:00,2022-01-03 23:00:00,7.806914132,7.87403545133333,17418.2156851436,12.1985860484138
"30",2022-01-02 21:00:00,2022-01-03 23:00:00,7.83448583333333,7.87403545133333,17009.7382825358,12.1985860484138
"31",2022-01-02 21:00:00,2022-01-03 23:00:00,7.85577131933333,7.87403545133333,17376.5173691913,12.1985860484138
"32",2022-01-02 21:00:00,2022-01-03 23:00:00,7.85575902766667,7.87403545133333,17108.9702702461,12.1985860484138
"33",2022-01-02 21:00:00,2022-01-03 23:00:00,7.85787493083333,7.87403545133333,17293.4182158587,12.1985860484138
"34",2022-01-02 21:00:00,2022-01-03 23:00:00,7.8572456945,7.87403545133333,17136.7293659372,12.1985860484138
